sentence1,sentence2,score,true_score
저는 최신 IT 기술에 대한 깊은 이해와 여러 프로젝트 경험을 가지고 있습니다.,우리 회사는 IT 분야의 전문 지식을 갖춘 인재를 찾고 있습니다,0.5,0.9
팀워크를 중시하는 저는 다양한 팀 프로젝트에서 성공적인 결과를 이끌어냈습니다,협업 능력이 뛰어난 인재를 원합니다.,0.38,0.8
데이터 분석과 머신 러닝에 대한 제 전문성은 여러 기업의 문제 해결에 기여했습니다.,데이터 분석 전문가를 모집합니다.,0.44,0.85
저는 창의적인 마케팅 전략을 개발하는 데 강점을 가지고 있습니다.,IT 분야의 기술적 역량을 갖춘 인재를 찾습니다.,0.4,0.4
클라우드 컴퓨팅에 대한 제 깊은 지식은 클라우드 기반 프로젝트의 성공에 기여했습니다.,클라우드 컴퓨팅 전문가를 채용 중입니다.,0.56,0.8
 저는 다양한 프로그래밍 언어에 능통하며 특히 자바 개발에 자신이 있습니다.,자바 개발 경험이 풍부한 소프트웨어 엔지니어를 찾고 있습니다.,0.61,0.9
제가 이전에 참여한 프로젝트들은 주로 웹 개발과 관련되어 있으며 프론트엔드 개발에 중점을 두었습니다.,웹 프론트엔드 개발자를 모집합니다.,0.6,0.85
네트워크 보안 분야에서의 광범위한 경험을 바탕으로 여러 보안 문제를 해결해 왔습니다.,보안 전문가를 채용하여 우리 회사의 네트워크 보안을 강화하려고 합니다.,0.62,0.8
제 전공은 컴퓨터 과학이며 특히 인공지능과 머신 러닝 분야에 관심이 많습니다.,최신 IT 기술을 활용하여 혁신을 주도할 연구원을 모집 중입니다.,0.46,0.7
프로젝트 관리 경험을 통해 팀을 이끌고 목표를 달성하는 데 필요한 기술을 습득했습니다.,효율적인 프로젝트 관리 능력을 가진 팀 리더를 찾고 있습니다.,0.4,0.9
저는 디지털 마케팅 분야에서 5년의 경험을 가지고 있으며 특히 소셜 미디어 전략에 능숙합니다.,네트워크 엔지니어링에 경험이 있는 후보자를 찾고 있습니다.,0.56,0.2
제 강점은 고객 관계 관리와 커뮤니케이션 능력에 있습니다.,데이터베이스 관리 및 최적화에 능숙한 전문가를 모집합니다.,0.49,0.3
저는 비주얼 디자인과 그래픽 디자인에 대한 풍부한 경험을 가지고 있습니다.,서버 관리 및 유지보수 능력을 갖춘 IT 전문가를 찾습니다.,0.25,0.25
제 경력의 초점은 주로 인적 자원 관리와 조직 개발에 맞춰져 있습니다.,클라우드 기반 솔루션 개발에 능한 개발자를 모집 중입니다.,0.44,0.15
저는 재무 분석 및 경영 컨설팅 분야에서 다년간의 경험을 쌓아왔습니다.,사이버 보안 문제 해결에 탁월한 능력을 보유한 전문가를 찾고 있습니다.,0.34,0.1
저는 다년간의 프로젝트 관리 경험을 바탕으로 팀을 효율적으로 이끌 수 있습니다.,프로젝트 관리 능력이 탁월한 리더를 찾고 있습니다.,0.55,0.9
영업 분야에서의 제 경험은 고객 관계 구축과 매출 증대에 크게 기여했습니다,시스템 아키텍처 설계에 능한 엔지니어를 모집합니다.,0.22,0.2
